Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,Pkg Code,,,,,,XREF
2,"R3, R4",22R,R0805,RMCF0805FT22R0,Stackpole Electronics Inc.,DK,RMCF0805FT22R0CT-ND,RES SMD 22 OHM 1% 1/8W 0805,0805 (2012 Metric),*,*,*,*,*,*
1,"L2",22UH,TYS5040220M-10,TYS5040220M-10,Laird-Signal Integrity Products,DK,240-2713-1-ND,FIXED IND 22UH 1.5A 129 MOHM SMD,Nonstandard,*,*,*,*,*,*
1,"C27",22n,C0805,C2012C0G1H223J125AA,TDK Corporation,DK,445-7522-1-ND,CAP CER 0.022UF 50V 5% C0G 0805,0805 (2012 Metric),*,*,*,*,*,*
1,"R28",39K,R0805,ERJ-6ENF3902V,Panasonic Electronic Components,DK,P39.0KCCT-ND,RES SMD 39K OHM 1% 1/8W 0805,0805 (2012 Metric),*,*,*,*,*,*
6,"R31, R33, R35, R53, R56, R59",39k,R0805,ERJ-6ENF3902V,Panasonic Electronic Components,DK,P39.0KCCT-ND,RES SMD 39K OHM 1% 1/8W 0805,0805 (2012 Metric),*,*,*,*,*,*
4,"R44, R45, R46, R47",100R,R0805,ERJ-6ENF1000V,Panasonic Electronic Components,DK,P100CCT-ND,RES SMD 100 OHM 1% 1/8W 0805,0805 (2012 Metric),*,*,*,*,*,*
3,"C9, C16, C44",100n,C0805,08053C104KAT2A,AVX Corporation,DK,478-3755-1-ND,CAP CER 0.1UF 25V 10% X7R 0805,0805 (2012 Metric),*,*,*,*,*,REF1
1,"C48",100uf,C0805,GRM21BR60G107ME15L,Murata Electronics North America,DK,490-10510-1-ND,CAP CER 100UF 4V X5R 0805,0805 (2012 Metric),*,*,*,*,*,*
1,"R5",120R,R0805,ERJ-6ENF1200V,Panasonic Electronic Components,DK,P120CCT-ND,RES SMD 120 OHM 1% 1/8W 0805,0805 (2012 Metric),*,*,*,*,*,*
1,"C32",120pf,C0805,08051A121FAT2A,AVX Corporation,DK,478-10372-1-ND,CAP CER 120PF 100V NP0 0805,0805 (2012 Metric),*,*,*,*,*,*
1,"R41",220K,R0805,ERJ-6ENF2203V,Panasonic Electronic Components,DK,P220KCCT-ND,220k Ohm ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200 Thick Film,0805 (2012 Metric),*,*,*,*,*,*
3,"C37, C38, C39",220n,C0805,GRM219R71C224KA01D,Murata Electronics North America,DK,490-1684-1-ND,CAP CER 0.22UF 16V X7R 0805,0805 (2012 Metric),*,*,*,*,*,*
1,"D1",568-6471-1-ND,SOT-23_DIODE,SMF5.0A,Littelfuse Inc.,DK,F5748CT-ND,TVS DIODE 5VWM 9.2VC SOD123,SOD-123F,*,*,*,*,*,*
1,"R2",DNP,R0805,ERJ-6GEY0R00V,Panasonic Electronic Components,DK,P0.0ACT-ND,RES SMD 0.0 OHM JUMPER 1/8W 0805,0805 (2012 Metric),*,*,*,*,*,*
1,"U4",DRV8302,HTSSOP-56,DRV8302DCA,Texas Instruments,DK,296-33275-5-ND,Motor Driver Power MOSFET Parallel 56-HTSSOP,56-TFSOP (0.240", 6.10mm Width) Exposed Pad,*,*,*,*,*,*
4,"LED1, LED2, LED5, LED6",GREEN,CHIP-LED0805,598-8170-107F,Dialight,DK,350-2044-1-ND,LED GREEN CLEAR 0805 SMD,0805 (2012 Metric),*,*,*,*,*,*
1,"U3",LM3671MF-3.3/NOPB,SOT23-5,LM3671MF-3.3/NOPB,Texas Instruments,DK,LM3671MF-3.3/NOPBCT-ND,IC REG BUCK 3.3V 0.6A SYNC SOT23,SC-74A, SOT-753,*,*,*,*,*,*
1,"U1",MCP2562,SOIC8-N_MC,MCP2562FD-E/SN,Microchip Technology,DK,MCP2562FD-E/SN-ND,IC TXRX CAN HIGH SPEED VIO 8SOIC,8-SOIC (0.154", 3.90mm Width),*,*,*,*,*,*
2,"LED3, LED4",RED,CHIP-LED0805,5988110107F,Dialight,DK,350-2038-1-ND,LED CHIP RED CLEAR 0805 SMD,0805 (2012 Metric),*,*,*,*,*,*
1,"U2",STM32F405RGT6,LQFP-64,***PART# '*' NOT FOUND***,*,*,*,*,*,*,*,*,*,*,*
